"Hotel, City",Review,sentiment_score,Price (INR per night)
"The Westin, Mumbai","An upscale hotel with green initiatives. The staff was courteous, and the breakfast buffet was excellent.",6.459014,25000
"Lemon Tree Premier, Delhi","A budget-friendly hotel with some sustainability efforts. The service was good, but the food needed improvement.",1.1374104,8000
"Holiday Inn, Jaipur","A well-located hotel with basic sustainability practices. The rooms were spacious, but the food was average.",3.8450153,9000
"Radisson Blu, Ludhiana","A well-maintained property with eco-friendly measures. The service was prompt, and the food was delicious.",7.2945766,14000
"Taj Coromandel, Chennai","A luxurious hotel with a sustainability commitment. The rooms were elegant, and the food was exceptional.",8.693234,45000
"Hyatt Place, Gurgaon","A modern hotel with limited green efforts. The staff was attentive, and the breakfast was good.",4.7404013,11000
"The Zuri, Bangalore","An eco-conscious property with a relaxing ambiance. The rooms were clean, and the food was great.",7.724392,16000
"Ibis, Kochi","A budget hotel with basic amenities. The sustainability practices were lacking, and the food was below average.",-1.6492041,5000
"Sarovar Portico, Ahmedabad","A mid-range hotel with a focus on reducing waste. The rooms were comfortable, and the food was decent.",3.4888759,8500
"Fairmont, Jaipur","A palatial property with strong sustainability measures. The service was world-class, and the food was divine.",7.985473,48000
"The LaLiT, Chandigarh","An elegant property with eco-friendly operations. The hospitality was fantastic, and the food was great.",8.966786,30000
"The Imperial, Delhi","A heritage hotel with a commitment to sustainability. The ambiance was regal, and the food was impeccable.",8.229349,47000
"Welcomhotel, Coimbatore","A sustainable hotel with comfortable rooms. The staff was helpful, and the breakfast was delicious.",7.2050695,14000
"Neemrana Fort Palace, Alwar","A heritage property with green initiatives. The views were amazing, and the food was authentic.",8.809483,20000
"Jaypee Palace, Agra","A beautiful hotel with decent eco-friendly practices. The service was good, and the Mughlai cuisine was excellent.",7.2689567,18000
"The Tamara, Coorg","An eco-luxury resort with a deep sustainability commitment. The nature views were mesmerizing, and the food was fresh.",7.401005,46000
"Sterling Resorts, Ooty","A nature-friendly resort with some sustainability efforts. The service was decent, and the food was good.",3.2950063,12000
"Club Mahindra, Munnar","A scenic resort with an emphasis on eco-tourism. The rooms were cozy, and the staff was friendly.",5.891301,15000
"Evolve Back, Kabini","A premium wildlife resort with strong conservation efforts. The jungle experience was incredible, and the food was organic.",8.200202,50000
"VITS Hotel, Mumbai","A business hotel with limited sustainability focus. The stay was comfortable, but the food was mediocre.",-1.3201184,7000
"Ramada, Lucknow","A mid-range hotel with some green efforts. The rooms were spacious, and the food was good.",1.9666835,9000
"Golden Tulip, Jaipur","A stylish hotel with a moderate focus on sustainability. The service was good, and the food was tasty.",4.3214884,12500
"Trident, Udaipur","A luxurious lakefront hotel with eco-friendly initiatives. The service was exceptional, and the food was gourmet.",8.742412,47000
"The Gateway Hotel, Nashik","A peaceful property with sustainability in mind. The vineyard tour was delightful, and the food was fresh.",7.43735,17000
"Le Meridien, Kochi","A riverside hotel with green operations. The service was excellent, and the seafood was outstanding.",8.558943,25000
"Marriott Resort & Spa, Jaisalmer","A desert resort with commendable sustainability efforts. The ambiance was magical, and the food was authentic Rajasthani.",8.165862,45000
"The Oberoi Bangalore, Jaipur",The hotel's sustainability initiatives are impressive.,5.268148,41718
"The Oberoi Bangalore, Goa",A breathtaking location with a strong emphasis on green energy.,6.244078,16861
"Taj Mahal Palace, Mumbai","Excellent sustainable practices, including waste management.",2.938428,25703
"JW Marriott Mumbai, New Delhi",A breathtaking location with a strong emphasis on green energy.,1.035863,22967
"Leela Palace, Chennai",The hotel's commitment to sustainability is commendable.,7.119635,41737
"The Oberoi Bangalore, Mumbai",Amazing experience with a conscious approach towards sustainability.,1.257212,29666
"Hyatt Regency Chennai, Kolkata",The hotel's sustainability initiatives are impressive.,2.193706,46476
"ITC Gardenia, Hyderabad",A perfect mix of luxury and responsibility towards the environment.,3.632905,11159
"Radisson Blu Jaipur, Pune",The hotel's commitment to sustainability is commendable.,3.038035,31201
"JW Marriott Mumbai, Mumbai",The hotel's commitment to sustainability is commendable.,7.692275,14311
"Hyatt Regency Chennai, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,6.171968,36099
"Taj Mahal Palace, New Delhi",The eco-friendly policies of this hotel make the stay even better.,9.309809,26631
"Taj Mahal Palace, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,2.60302,42280
"Hyatt Regency Chennai, Hyderabad",The eco-friendly policies of this hotel make the stay even better.,7.48627,8478
"Leela Palace, Bangalore",Great hospitality with responsible tourism initiatives.,9.232818,13463
"Hyatt Regency Chennai, New Delhi",Amazing experience with a conscious approach towards sustainability.,1.152357,28623
"Taj Mahal Palace, Jaipur",A breathtaking location with a strong emphasis on green energy.,8.663973,44055
"The Oberoi Bangalore, Goa",Great hospitality with responsible tourism initiatives.,9.69866,22697
"ITC Gardenia, Hyderabad",Great hospitality with responsible tourism initiatives.,6.036862,10614
"JW Marriott Mumbai, Hyderabad",A perfect mix of luxury and responsibility towards the environment.,7.806698,46458
"Radisson Blu Jaipur, Udaipur",A perfect mix of luxury and responsibility towards the environment.,6.640096,41575
"Taj Mahal Palace, Kolkata",Amazing experience with a conscious approach towards sustainability.,4.217049,21923
"Radisson Blu Jaipur, Hyderabad",The eco-friendly policies of this hotel make the stay even better.,8.991057,11751
"ITC Gardenia, Jaipur",A luxurious stay with a strong focus on eco-friendly practices.,5.158292,24987
"Radisson Blu Jaipur, Chennai",The eco-friendly policies of this hotel make the stay even better.,3.44311,29221
"JW Marriott Mumbai, Chennai",The hotel's sustainability initiatives are impressive.,3.874957,17470
"Hyatt Regency Chennai, Chennai",Amazing experience with a conscious approach towards sustainability.,5.815834,42383
"Oberoi Udaivilas, Jaipur",Great hospitality with responsible tourism initiatives.,4.717699,45160
"Taj Lake Palace, New Delhi",A perfect mix of luxury and responsibility towards the environment.,2.531873,18551
"Hyatt Regency Chennai, Pune",Amazing experience with a conscious approach towards sustainability.,9.145965,27708
"ITC Gardenia, Kolkata",The eco-friendly policies of this hotel make the stay even better.,2.174918,33154
"Hyatt Regency Chennai, Bangalore",A luxurious stay with a strong focus on eco-friendly practices.,2.340994,28358
"Taj Mahal Palace, Goa",A luxurious stay with a strong focus on eco-friendly practices.,4.667047,10091
"The Oberoi Bangalore, Chennai",A perfect mix of luxury and responsibility towards the environment.,9.917988,13073
"Taj Lake Palace, Chennai",The eco-friendly policies of this hotel make the stay even better.,5.826657,8857
"ITC Gardenia, Kolkata",I love how this hotel focuses on renewable energy sources.,2.126178,15017
"Taj Mahal Palace, Pune",The hotel's commitment to sustainability is commendable.,4.835538,36703
"JW Marriott Mumbai, Chennai",A luxurious stay with a strong focus on eco-friendly practices.,4.378167,13506
"Oberoi Udaivilas, Udaipur",A breathtaking location with a strong emphasis on green energy.,1.912579,6262
"Hyatt Regency Chennai, Chennai",Amazing experience with a conscious approach towards sustainability.,3.411986,26456
"Radisson Blu Jaipur, Udaipur",I love how this hotel focuses on renewable energy sources.,3.185682,27272
"Taj Mahal Palace, New Delhi",Great hospitality with responsible tourism initiatives.,3.73605,27416
"The Leela Goa, Udaipur",The eco-friendly policies of this hotel make the stay even better.,9.831877,30689
"Radisson Blu Jaipur, Jaipur",Amazing experience with a conscious approach towards sustainability.,7.444083,39703
"Oberoi Udaivilas, Udaipur",Great hospitality with responsible tourism initiatives.,8.192363,47440
"The Leela Goa, Hyderabad",The hotel's sustainability initiatives are impressive.,3.179577,34484
"The Leela Goa, Bangalore",A perfect mix of luxury and responsibility towards the environment.,7.079574,35631
"Taj Lake Palace, Mumbai",A breathtaking location with a strong emphasis on green energy.,8.020233,44345
"Hyatt Regency Chennai, Jaipur",Great hospitality with responsible tourism initiatives.,7.275541,21480
"The Oberoi Bangalore, Chennai",I love how this hotel focuses on renewable energy sources.,7.91592,32598
"Oberoi Udaivilas, Jaipur",I love how this hotel focuses on renewable energy sources.,5.470614,24550
"Taj Lake Palace, Jaipur",Great hospitality with responsible tourism initiatives.,1.921082,20925
"Taj Mahal Palace, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,2.329856,13668
"Oberoi Udaivilas, Chennai",A perfect mix of luxury and responsibility towards the environment.,3.780319,48529
"The Oberoi Bangalore, Pune",Great hospitality with responsible tourism initiatives.,1.294695,6731
"ITC Gardenia, Chennai",Amazing experience with a conscious approach towards sustainability.,4.986457,33497
"Radisson Blu Jaipur, Goa",I love how this hotel focuses on renewable energy sources.,2.704185,34478
"Leela Palace, Goa",A luxurious stay with a strong focus on eco-friendly practices.,3.725344,12272
"The Oberoi Bangalore, Mumbai",A perfect mix of luxury and responsibility towards the environment.,8.75908,20414
"The Oberoi Bangalore, Bangalore",The hotel's commitment to sustainability is commendable.,7.786463,45948
"JW Marriott Mumbai, Pune",A breathtaking location with a strong emphasis on green energy.,8.131802,26787
"JW Marriott Mumbai, Kolkata",A breathtaking location with a strong emphasis on green energy.,2.893986,44191
"The Oberoi Bangalore, Mumbai",Great hospitality with responsible tourism initiatives.,3.512993,11218
"ITC Gardenia, Jaipur",Great hospitality with responsible tourism initiatives.,4.74639,5626
"The Oberoi Bangalore, New Delhi",The eco-friendly policies of this hotel make the stay even better.,6.515024,22917
"JW Marriott Mumbai, Udaipur",I love how this hotel focuses on renewable energy sources.,7.22296,37278
"ITC Gardenia, Hyderabad","Excellent sustainable practices, including waste management.",5.81769,49493
"Taj Mahal Palace, Hyderabad",A perfect mix of luxury and responsibility towards the environment.,9.237839,39767
"The Oberoi Bangalore, Mumbai",Great hospitality with responsible tourism initiatives.,9.258177,15761
"Hyatt Regency Chennai, Jaipur",A perfect mix of luxury and responsibility towards the environment.,8.236148,47341
"JW Marriott Mumbai, Mumbai","Excellent sustainable practices, including waste management.",8.738509,32105
"Leela Palace, Chennai","Excellent sustainable practices, including waste management.",5.826777,5172
"Oberoi Udaivilas, Goa",I love how this hotel focuses on renewable energy sources.,7.173053,43031
"Taj Mahal Palace, Chennai",Great hospitality with responsible tourism initiatives.,2.172838,33138
"The Leela Goa, Chennai","Excellent sustainable practices, including waste management.",8.507498,38386
"ITC Gardenia, Jaipur",The eco-friendly policies of this hotel make the stay even better.,2.095731,40262
"Hyatt Regency Chennai, Goa",Amazing experience with a conscious approach towards sustainability.,9.869095,17714
"Taj Mahal Palace, New Delhi",The eco-friendly policies of this hotel make the stay even better.,4.229781,10775
"Oberoi Udaivilas, Chennai",The hotel's sustainability initiatives are impressive.,8.338594,42053
"Leela Palace, Hyderabad","Excellent sustainable practices, including waste management.",1.072945,35184
"The Oberoi Bangalore, Chennai",A perfect mix of luxury and responsibility towards the environment.,6.240016,27413
"Taj Lake Palace, Goa",Great hospitality with responsible tourism initiatives.,7.238073,24766
"Taj Mahal Palace, Mumbai",A breathtaking location with a strong emphasis on green energy.,1.522419,25772
"The Leela Goa, Chennai",A breathtaking location with a strong emphasis on green energy.,7.692542,43727
"Hyatt Regency Chennai, Goa",The hotel's sustainability initiatives are impressive.,6.348898,38102
"Leela Palace, Pune",Great hospitality with responsible tourism initiatives.,9.775741,27612
"The Oberoi Bangalore, Jaipur",A perfect mix of luxury and responsibility towards the environment.,5.733853,45133
"Hyatt Regency Chennai, Chennai",The hotel's commitment to sustainability is commendable.,2.220887,15035
"Radisson Blu Jaipur, Chennai",A luxurious stay with a strong focus on eco-friendly practices.,8.644392,27317
"ITC Gardenia, Pune",Great hospitality with responsible tourism initiatives.,5.507229,11651
"The Oberoi Bangalore, Goa",I love how this hotel focuses on renewable energy sources.,4.737819,28054
"JW Marriott Mumbai, Chennai",A breathtaking location with a strong emphasis on green energy.,7.495682,20959
"Taj Mahal Palace, Hyderabad",A breathtaking location with a strong emphasis on green energy.,6.32387,38837
"The Leela Goa, Hyderabad",Amazing experience with a conscious approach towards sustainability.,6.693247,26419
"Taj Lake Palace, Pune",A breathtaking location with a strong emphasis on green energy.,8.11419,49141
"JW Marriott Mumbai, Udaipur",A luxurious stay with a strong focus on eco-friendly practices.,2.550776,5037
"Taj Lake Palace, Jaipur",Great hospitality with responsible tourism initiatives.,5.806756,13542
"The Leela Goa, New Delhi",The hotel's sustainability initiatives are impressive.,1.359245,19839
"ITC Gardenia, Chennai",A breathtaking location with a strong emphasis on green energy.,5.940146,42550
"Taj Mahal Palace, Jaipur",A breathtaking location with a strong emphasis on green energy.,5.904468,6630
"The Oberoi Bangalore, Bangalore",I love how this hotel focuses on renewable energy sources.,9.780383,34094
"Hyatt Regency Chennai, Pune",The hotel's commitment to sustainability is commendable.,7.252544,34583
"ITC Gardenia, Jaipur",A breathtaking location with a strong emphasis on green energy.,7.428162,38935
"Hyatt Regency Chennai, Kolkata",Amazing experience with a conscious approach towards sustainability.,8.556746,38694
"The Oberoi Bangalore, Kolkata",The eco-friendly policies of this hotel make the stay even better.,2.992336,32828
"The Oberoi Bangalore, Goa",A luxurious stay with a strong focus on eco-friendly practices.,7.363185,32738
"Taj Mahal Palace, Hyderabad",Great hospitality with responsible tourism initiatives.,7.529682,43846
"Radisson Blu Jaipur, New Delhi",Great hospitality with responsible tourism initiatives.,2.794994,33554
"The Leela Goa, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,9.103643,24628
"ITC Gardenia, New Delhi",A breathtaking location with a strong emphasis on green energy.,1.143087,15699
"Leela Palace, Hyderabad",Great hospitality with responsible tourism initiatives.,2.80465,49657
"Leela Palace, Bangalore",The eco-friendly policies of this hotel make the stay even better.,8.349492,9825
"Radisson Blu Jaipur, Bangalore",Amazing experience with a conscious approach towards sustainability.,4.562561,25854
"JW Marriott Mumbai, Goa",The hotel's commitment to sustainability is commendable.,5.777091,23420
"Oberoi Udaivilas, Mumbai",A breathtaking location with a strong emphasis on green energy.,2.033493,18901
"Hyatt Regency Chennai, Bangalore",A breathtaking location with a strong emphasis on green energy.,9.858227,22856
"The Leela Goa, Pune",Amazing experience with a conscious approach towards sustainability.,9.159989,28361
"The Leela Goa, Bangalore",A perfect mix of luxury and responsibility towards the environment.,7.738972,8108
"The Oberoi Bangalore, Bangalore",Great hospitality with responsible tourism initiatives.,3.792466,46039
"ITC Gardenia, Chennai","Excellent sustainable practices, including waste management.",6.244321,36277
"Hyatt Regency Chennai, Bangalore",A breathtaking location with a strong emphasis on green energy.,1.171504,26238
"The Oberoi Bangalore, Hyderabad","Excellent sustainable practices, including waste management.",3.030054,19201
"Leela Palace, Pune",Amazing experience with a conscious approach towards sustainability.,4.985911,24841
"Oberoi Udaivilas, Goa",I love how this hotel focuses on renewable energy sources.,7.903074,7512
"JW Marriott Mumbai, Pune",Great hospitality with responsible tourism initiatives.,5.332341,31375
"ITC Gardenia, Bangalore",Great hospitality with responsible tourism initiatives.,2.361537,26111
"Leela Palace, Kolkata","Excellent sustainable practices, including waste management.",7.79496,49801
"Oberoi Udaivilas, Chennai",Great hospitality with responsible tourism initiatives.,8.632541,5561
"Radisson Blu Jaipur, Hyderabad",The hotel's commitment to sustainability is commendable.,7.768966,42192
"Leela Palace, Udaipur",A luxurious stay with a strong focus on eco-friendly practices.,7.717949,46159
"Hyatt Regency Chennai, Pune",The hotel's commitment to sustainability is commendable.,3.972596,45991
"Hyatt Regency Chennai, Pune",Amazing experience with a conscious approach towards sustainability.,2.104417,45579
"Oberoi Udaivilas, Mumbai",The hotel's commitment to sustainability is commendable.,8.199948,44494
"Hyatt Regency Chennai, New Delhi",A luxurious stay with a strong focus on eco-friendly practices.,4.130684,20807
"Oberoi Udaivilas, Chennai",I love how this hotel focuses on renewable energy sources.,6.070394,46699
"Hyatt Regency Chennai, Udaipur",A perfect mix of luxury and responsibility towards the environment.,3.439785,19924
"The Oberoi Bangalore, Bangalore",Amazing experience with a conscious approach towards sustainability.,2.838247,35735
"ITC Gardenia, Mumbai",Great hospitality with responsible tourism initiatives.,6.614217,21021
"The Oberoi Bangalore, Hyderabad","Excellent sustainable practices, including waste management.",8.516813,19390
"Taj Lake Palace, Hyderabad",A breathtaking location with a strong emphasis on green energy.,8.566221,24870
"The Oberoi Bangalore, Chennai",A perfect mix of luxury and responsibility towards the environment.,9.497208,25009
"Hyatt Regency Chennai, Bangalore",A perfect mix of luxury and responsibility towards the environment.,3.623353,7029
"JW Marriott Mumbai, Chennai",A breathtaking location with a strong emphasis on green energy.,6.501527,29230
"Hyatt Regency Chennai, New Delhi",A perfect mix of luxury and responsibility towards the environment.,7.867183,40274
"Taj Mahal Palace, Chennai",I love how this hotel focuses on renewable energy sources.,6.505071,43276
"Taj Lake Palace, Pune",A perfect mix of luxury and responsibility towards the environment.,1.162357,43323
"Oberoi Udaivilas, Pune",Amazing experience with a conscious approach towards sustainability.,6.812689,34081
"Taj Mahal Palace, Jaipur",Amazing experience with a conscious approach towards sustainability.,6.254709,40377
"Oberoi Udaivilas, Kolkata",The hotel's commitment to sustainability is commendable.,9.766739,24547
"The Leela Goa, Jaipur",I love how this hotel focuses on renewable energy sources.,1.161716,19214
"Oberoi Udaivilas, Jaipur","Excellent sustainable practices, including waste management.",9.464745,42920
"JW Marriott Mumbai, Hyderabad",The eco-friendly policies of this hotel make the stay even better.,9.085347,13488
"The Leela Goa, Jaipur",The hotel's sustainability initiatives are impressive.,3.221482,23098
"Taj Mahal Palace, Hyderabad",The hotel's sustainability initiatives are impressive.,5.535231,49259
"Leela Palace, Jaipur",A perfect mix of luxury and responsibility towards the environment.,3.080603,35766
"ITC Gardenia, Bangalore",A luxurious stay with a strong focus on eco-friendly practices.,6.089472,40258
"Taj Lake Palace, Hyderabad",A breathtaking location with a strong emphasis on green energy.,5.000528,5040
"Taj Lake Palace, Hyderabad",The eco-friendly policies of this hotel make the stay even better.,1.376822,34205
"Oberoi Udaivilas, Goa",Amazing experience with a conscious approach towards sustainability.,5.19628,34170
"Oberoi Udaivilas, Udaipur","Excellent sustainable practices, including waste management.",2.946902,42183
"Hyatt Regency Chennai, Udaipur",Great hospitality with responsible tourism initiatives.,2.099876,44504
"The Oberoi Bangalore, Mumbai","Excellent sustainable practices, including waste management.",3.011178,15979
"Hyatt Regency Chennai, Pune",The hotel's commitment to sustainability is commendable.,9.562066,31316
"Oberoi Udaivilas, New Delhi",I love how this hotel focuses on renewable energy sources.,1.81341,26235
"Hyatt Regency Chennai, Chennai",Great hospitality with responsible tourism initiatives.,7.344851,12133
"Hyatt Regency Chennai, Pune",A perfect mix of luxury and responsibility towards the environment.,4.929634,39386
"Taj Mahal Palace, Goa",A perfect mix of luxury and responsibility towards the environment.,4.948902,28726
"ITC Gardenia, Udaipur",A breathtaking location with a strong emphasis on green energy.,2.213905,44181
"The Oberoi Bangalore, Pune",A luxurious stay with a strong focus on eco-friendly practices.,5.049528,5983
"Leela Palace, Pune",A perfect mix of luxury and responsibility towards the environment.,5.391797,45730
"JW Marriott Mumbai, Bangalore","Excellent sustainable practices, including waste management.",3.083215,47132
"Radisson Blu Jaipur, Bangalore",Amazing experience with a conscious approach towards sustainability.,2.900248,41818
"Taj Lake Palace, Jaipur",A perfect mix of luxury and responsibility towards the environment.,8.987403,42921
"The Leela Goa, Udaipur",The hotel's commitment to sustainability is commendable.,4.37846,8086
"Taj Mahal Palace, Mumbai",Amazing experience with a conscious approach towards sustainability.,4.353725,38569
"Leela Palace, Hyderabad",The hotel's commitment to sustainability is commendable.,7.335728,9973
"Leela Palace, Goa",Amazing experience with a conscious approach towards sustainability.,9.851303,38357
"Leela Palace, Mumbai",A breathtaking location with a strong emphasis on green energy.,5.687503,20292
"Hyatt Regency Chennai, Jaipur",Great hospitality with responsible tourism initiatives.,5.369119,37873
"Taj Lake Palace, New Delhi",Amazing experience with a conscious approach towards sustainability.,8.97672,8833
"Leela Palace, New Delhi",I love how this hotel focuses on renewable energy sources.,4.108085,48854
"Taj Lake Palace, Bangalore","Excellent sustainable practices, including waste management.",6.587407,20926
"The Leela Goa, Chennai",I love how this hotel focuses on renewable energy sources.,3.446999,44643
"JW Marriott Mumbai, Mumbai",The eco-friendly policies of this hotel make the stay even better.,7.747532,46501
"ITC Gardenia, Goa",A perfect mix of luxury and responsibility towards the environment.,7.831994,46828
"Hyatt Regency Chennai, Bangalore",The hotel's commitment to sustainability is commendable.,9.919086,34956
"Taj Lake Palace, Pune","Excellent sustainable practices, including waste management.",1.49616,5011
"Radisson Blu Jaipur, New Delhi","Excellent sustainable practices, including waste management.",3.169789,46130
"ITC Gardenia, Jaipur",A perfect mix of luxury and responsibility towards the environment.,5.372911,15773
"JW Marriott Mumbai, New Delhi",A breathtaking location with a strong emphasis on green energy.,5.996351,5578
"Taj Lake Palace, New Delhi",I love how this hotel focuses on renewable energy sources.,7.651456,18995
"JW Marriott Mumbai, Chennai",The hotel's sustainability initiatives are impressive.,9.332982,34382
"Taj Mahal Palace, Kolkata",A breathtaking location with a strong emphasis on green energy.,3.151695,28355
"Taj Mahal Palace, Goa",A luxurious stay with a strong focus on eco-friendly practices.,1.75586,20546
"Taj Lake Palace, Jaipur",Amazing experience with a conscious approach towards sustainability.,1.87839,27662
"Radisson Blu Jaipur, Bangalore",Great hospitality with responsible tourism initiatives.,7.391693,21951
"Hyatt Regency Chennai, Udaipur",I love how this hotel focuses on renewable energy sources.,9.408966,24228
"The Oberoi Bangalore, Udaipur",The eco-friendly policies of this hotel make the stay even better.,2.760321,26912
"Taj Mahal Palace, Hyderabad",A perfect mix of luxury and responsibility towards the environment.,2.844669,35429
"The Leela Goa, New Delhi",A breathtaking location with a strong emphasis on green energy.,9.699787,23737
"The Oberoi Bangalore, Jaipur",A luxurious stay with a strong focus on eco-friendly practices.,5.522248,45920
"The Oberoi Bangalore, Hyderabad",The eco-friendly policies of this hotel make the stay even better.,8.275812,43901
"The Leela Goa, Hyderabad",Great hospitality with responsible tourism initiatives.,1.003751,23261
"The Oberoi Bangalore, Kolkata",The hotel's commitment to sustainability is commendable.,8.417336,13207
"The Oberoi Bangalore, Mumbai",The hotel's commitment to sustainability is commendable.,6.433943,44016
"ITC Gardenia, New Delhi",The hotel's sustainability initiatives are impressive.,5.893893,41926
"Taj Mahal Palace, New Delhi",A perfect mix of luxury and responsibility towards the environment.,4.584001,35878
"Hyatt Regency Chennai, Jaipur","Excellent sustainable practices, including waste management.",4.98854,48623
"Taj Mahal Palace, New Delhi",The eco-friendly policies of this hotel make the stay even better.,4.228136,41034
"Taj Lake Palace, Chennai",I love how this hotel focuses on renewable energy sources.,6.277279,46421
"Hyatt Regency Chennai, Kolkata",The eco-friendly policies of this hotel make the stay even better.,9.395219,16150
"Radisson Blu Jaipur, Goa",Amazing experience with a conscious approach towards sustainability.,1.415879,8576
"Leela Palace, Mumbai",I love how this hotel focuses on renewable energy sources.,6.351662,19210
"ITC Gardenia, Bangalore","Excellent sustainable practices, including waste management.",7.124704,26887
"JW Marriott Mumbai, New Delhi",A perfect mix of luxury and responsibility towards the environment.,7.889982,45713
"ITC Gardenia, Kolkata",I love how this hotel focuses on renewable energy sources.,5.288329,24599
"Radisson Blu Jaipur, Udaipur",The hotel's commitment to sustainability is commendable.,4.321103,18114
"Hyatt Regency Chennai, Pune","Excellent sustainable practices, including waste management.",6.94216,45532
"Radisson Blu Jaipur, Bangalore",A perfect mix of luxury and responsibility towards the environment.,3.51085,7271
"Oberoi Udaivilas, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,1.904117,45668
"Oberoi Udaivilas, Goa",The hotel's sustainability initiatives are impressive.,9.290888,10483
"JW Marriott Mumbai, Jaipur",I love how this hotel focuses on renewable energy sources.,8.606436,40723
"Radisson Blu Jaipur, Kolkata",Great hospitality with responsible tourism initiatives.,5.266982,28507
"Taj Lake Palace, Jaipur",The hotel's commitment to sustainability is commendable.,6.212842,21996
"The Oberoi Bangalore, Mumbai",The eco-friendly policies of this hotel make the stay even better.,2.089295,42587
"Hyatt Regency Chennai, New Delhi",The hotel's sustainability initiatives are impressive.,8.205171,21140
"Taj Lake Palace, Bangalore",Great hospitality with responsible tourism initiatives.,9.309168,38876
"ITC Gardenia, Pune",Amazing experience with a conscious approach towards sustainability.,9.479298,34986
"The Leela Goa, Pune",Great hospitality with responsible tourism initiatives.,1.097526,18925
"JW Marriott Mumbai, Mumbai",Great hospitality with responsible tourism initiatives.,8.874755,19541
"ITC Gardenia, Chennai",A luxurious stay with a strong focus on eco-friendly practices.,9.570521,22798
"Leela Palace, Hyderabad",Great hospitality with responsible tourism initiatives.,9.115453,25624
"Oberoi Udaivilas, Kolkata",The hotel's commitment to sustainability is commendable.,1.667782,17119
"Hyatt Regency Chennai, Jaipur","Excellent sustainable practices, including waste management.",5.597047,40713
